time,open,high,low,close
2022-11-17 22:00:00+00:00,1.03626,1.03962,1.03138,1.03223
2022-11-20 22:00:00+00:00,1.03253,1.03334,1.02227,1.02416
2022-11-21 22:00:00+00:00,1.02444,1.03082,1.02389,1.03026
2022-11-22 22:00:00+00:00,1.03035,1.04052,1.02966,1.03954
2022-11-23 22:00:00+00:00,1.03992,1.04485,1.03818,1.04118
2022-11-24 22:00:00+00:00,1.04110,1.04293,1.03548,1.03965
2022-11-27 22:00:00+00:00,1.03769,1.04968,1.03302,1.03406
2022-11-28 22:00:00+00:00,1.03398,1.03946,1.03202,1.03290
2022-11-29 22:00:00+00:00,1.03354,1.04288,1.02904,1.04072
2022-11-30 22:00:00+00:00,1.04082,1.05340,1.03933,1.05260
2022-12-01 22:00:00+00:00,1.05230,1.05452,1.04284,1.05406
2022-12-04 22:00:00+00:00,1.05357,1.05950,1.04804,1.04948
2022-12-05 22:00:00+00:00,1.04903,1.05330,1.04594,1.04670
2022-12-06 22:00:00+00:00,1.04671,1.05498,1.04434,1.05064
2022-12-07 22:00:00+00:00,1.05081,1.05650,1.04896,1.05552
2022-12-08 22:00:00+00:00,1.05573,1.05883,1.05036,1.05330
2022-12-11 22:00:00+00:00,1.05328,1.05803,1.05060,1.05378
2022-12-12 22:00:00+00:00,1.05358,1.06736,1.05281,1.06317
2022-12-13 22:00:00+00:00,1.06322,1.06951,1.06190,1.06822
2022-12-14 22:00:00+00:00,1.06812,1.07362,1.05924,1.06267
2022-12-15 22:00:00+00:00,1.06285,1.06633,1.05848,1.05848
2022-12-18 22:00:00+00:00,1.05890,1.06580,1.05760,1.06079
2022-12-19 22:00:00+00:00,1.06060,1.06586,1.05790,1.06213
2022-12-20 22:00:00+00:00,1.06268,1.06454,1.05904,1.06052
2022-12-21 22:00:00+00:00,1.06060,1.06595,1.05734,1.05972
2022-12-22 22:00:00+00:00,1.05964,1.06332,1.05868,1.06162
2022-12-26 22:00:00+00:00,1.06357,1.06696,1.06115,1.06380
2022-12-27 22:00:00+00:00,1.06408,1.06746,1.06067,1.06122
2022-12-28 22:00:00+00:00,1.06120,1.06906,1.06097,1.06610
2022-12-29 22:00:00+00:00,1.06616,1.07133,1.06386,1.07039
2023-01-01 22:00:00+00:00,1.06999,1.07090,1.06504,1.06638
2023-01-02 22:00:00+00:00,1.06675,1.06835,1.05195,1.05490
2023-01-03 22:00:00+00:00,1.05478,1.06354,1.05408,1.06044
2023-01-04 22:00:00+00:00,1.06039,1.06316,1.05150,1.05215
2023-01-05 22:00:00+00:00,1.05210,1.06482,1.04833,1.06444
2023-01-08 22:00:00+00:00,1.06420,1.07608,1.06394,1.07338
