Name: EURUSD_2023-2024.csv
Initial Account: 25000
Total Trades: 71
Win Rate: 0.5352112676056338
$ (%) Gain:1188.6815134430617(0.04754726053772251)
Max Drawdown: -0.0199980099999999
#, Lot Size, RR, Direction, Entry ($), SL ($), TP ($), W/L, Gain ($), Account ($)
16, 4.378967689837058, 1.3, BUY, 1.0866, 1.0807214285714286, 1.094242142857143, WIN, 257.42074348113647, 25999.49509159478
17, 4.4227573667354285, 1.3, SELL, 1.0968, 1.1026785714285714, 1.089157857142857, WIN, 259.9949509159478, 26259.49004251073
18, 4.466984940402783, 1.3, SELL, 1.0921, 1.0979785714285715, 1.0844578571428571, LOSS, -262.5949004251073, 25996.89514208562
19, 4.422315090998755, 1.3, SELL, 1.1058, 1.1116785714285713, 1.098157857142857, LOSS, -259.96895142085623, 25736.926190664766
20, 4.378091940088767, 1.3, SELL, 1.1044, 1.1102785714285714, 1.0967578571428571, LOSS, -257.3692619066476, 25479.55692875812
21, 4.334311020687879, 1.3, SELL, 1.1012, 1.1070785714285714, 1.093557857142857, WIN, 254.79556928758112, 25734.3524980457
22, 4.377654130894759, 1.3, SELL, 1.0926, 1.0984785714285714, 1.084957857142857, LOSS, -257.343524980457, 25477.008973065243
23, 4.3338775895858115, 1.3, SELL, 1.0877, 1.0935785714285713, 1.080057857142857, WIN, 254.77008973065247, 25731.779062795897
24, 4.37721636548167, 1.3, BUY, 1.0765, 1.0706214285714286, 1.084142142857143, WIN, 257.31779062795897, 25989.096853423856
25, 4.420988529136487, 1.3, BUY, 1.0895, 1.0836214285714285, 1.0971421428571428, LOSS, -259.8909685342386, 25729.20588488962
26, 4.376778643845122, 1.3, SELL, 1.0971, 1.1029785714285714, 1.089457857142857, WIN, 257.2920588488962, 25986.497943738515
27, 4.420546430283573, 1.3, SELL, 1.0911, 1.0969785714285714, 1.083457857142857, WIN, 259.86497943738516, 26246.3629231759
28, 4.464751894586408, 1.3, SELL, 1.0853, 1.0911785714285713, 1.077657857142857, WIN, 262.463629231759, 26508.82655240766
29, 4.509399413532273, 1.3, BUY, 1.0718, 1.0659214285714287, 1.079442142857143, LOSS, -265.0882655240766, 26243.738286883585
30, 4.4643054193969505, 1.3, BUY, 1.0711, 1.0652214285714285, 1.0787421428571429, LOSS, -262.4373828688358, 25981.300904014748
31, 4.4196623652029805, 1.3, BUY, 1.0571, 1.0512214285714285, 1.0647421428571429, WIN, 259.8130090401475, 26241.113913054895
32, 4.46385898885501, 1.3, BUY, 1.0566, 1.0507214285714286, 1.064242142857143, WIN, 262.4111391305489, 26503.525052185443
33, 4.50849757874356, 1.3, BUY, 1.0601, 1.0542214285714286, 1.067742142857143, LOSS, -265.0352505218544, 26238.48980166359
34, 4.463412602956124, 1.3, BUY, 1.0579, 1.0520214285714287, 1.065542142857143, LOSS, -262.3848980166359, 25976.104903646952
35, 4.418778476926563, 1.3, BUY, 1.0528, 1.0469214285714286, 1.0604421428571429, WIN, 259.76104903646944, 26235.86595268342
36, 4.462966261695829, 1.3, BUY, 1.0606, 1.0547214285714286, 1.068242142857143, LOSS, -262.35865952683423, 25973.507293156585
